,Cr100,Cr100b,Cr10a,Cr10b,Cr20a,Cr20b,Cr40a,Cr40b,Cr60a,Cr60b,Cr80a,Cr80b,Amb,Ama
3906,0.009192635,0.009258084,0.01294792,0.013286153,0.011012854,0.011573292,0.007147142,0.007589031,0.019556946,0.020026256,0.019579325,0.019917705,0.016159731,0.016031431
3904,0.009229635,0.00934206,0.013020856,0.013313527,0.011096036,0.01165216,0.007283558,0.007728814,0.019636061,0.020089178,0.019651256,0.020004795,0.016244769,0.016086383
3902,0.009263176,0.00943349,0.013076708,0.01335182,0.011177634,0.011708458,0.007402631,0.007860379,0.019705524,0.020142649,0.019743564,0.020075015,0.016305149,0.016119525
3900,0.009275624,0.009489241,0.013088995,0.013401046,0.011220625,0.011723345,0.007456062,0.007912633,0.019736515,0.020175804,0.019824714,0.020111576,0.016314616,0.016117314
3898,0.00929475,0.009514193,0.013104895,0.013456603,0.011255974,0.011743492,0.007488041,0.00793315,0.019775214,0.020223193,0.019895454,0.020158823,0.016326326,0.016111329
3896,0.009342567,0.009526685,0.013157467,0.0135055,0.011308722,0.011792154,0.007535876,0.007977473,0.019843549,0.020284386,0.019950337,0.020229926,0.016365998,0.016120872
3894,0.009410792,0.009539945,0.013231314,0.01354084,0.011366233,0.011856748,0.00759873,0.008045601,0.01991711,0.020336976,0.019988659,0.020300223,0.016413741,0.016139054
3892,0.0094732,0.009560903,0.013275606,0.013575403,0.011393496,0.01191103,0.007645194,0.008098281,0.019950355,0.020368814,0.020017448,0.020341531,0.016433176,0.016149533
3890,0.009470564,0.009548802,0.01322414,0.013572064,0.011346702,0.011891471,0.007621216,0.008062227,0.019887691,0.02033406,0.019992448,0.020296256,0.016383997,0.016104402
3888,0.009386495,0.009479663,0.013074735,0.013505686,0.011238607,0.011782147,0.007516318,0.007926268,0.019738994,0.020224028,0.019888626,0.020163079,0.016278137,0.01599824
3886,0.00926463,0.009375656,0.012902721,0.013387816,0.011126722,0.011636769,0.007382278,0.007761575,0.019577412,0.020078115,0.019732451,0.019999537,0.016175226,0.015881815
3884,0.009141937,0.00926145,0.012763627,0.013234545,0.011024579,0.011495874,0.007255085,0.007620882,0.0194405,0.019915898,0.019548859,0.019831622,0.016095644,0.015788248
3882,0.009051659,0.00917719,0.012669185,0.013107778,0.010928318,0.011386324,0.007154303,0.007520241,0.019336491,0.019771649,0.019392902,0.019685117,0.016025574,0.015731879
3880,0.009039626,0.009178416,0.012642194,0.013090713,0.01088931,0.011358355,0.007134077,0.007490618,0.019307815,0.019722772,0.019360467,0.019635166,0.015990617,0.01573976
3878,0.009102375,0.009260266,0.012690391,0.013173878,0.010940631,0.011422507,0.007212196,0.00753736,0.01936844,0.019781891,0.019462302,0.019704727,0.016019583,0.015810628
3876,0.009204533,0.00938327,0.012802982,0.013299671,0.011066179,0.011551627,0.007353289,0.007640659,0.019494038,0.019902001,0.019636396,0.019854981,0.016112327,0.01592042
3874,0.009330252,0.009527342,0.01297212,0.013446002,0.011237846,0.011722667,0.007517974,0.007792868,0.0196669,0.020053132,0.019838342,0.020050229,0.016253013,0.016048531
3872,0.009464566,0.009662135,0.013148918,0.013603487,0.011400011,0.011889621,0.007649671,0.007963753,0.019842768,0.020209365,0.020029212,0.020247044,0.016386065,0.016161039
3870,0.009597336,0.009758119,0.013282697,0.013756885,0.011520396,0.012017827,0.00773441,0.008118591,0.019984792,0.020355615,0.02019127,0.020420438,0.016468995,0.016241147
3868,0.009702432,0.009794401,0.013358564,0.013855408,0.011597143,0.012099486,0.007800682,0.008227618,0.020077399,0.020461474,0.020300533,0.020543972,0.016506611,0.016284465
3866,0.009732284,0.009759132,0.013358185,0.013849856,0.011601242,0.012120398,0.007824784,0.008250198,0.020087848,0.020475865,0.020302889,0.020564651,0.016499746,0.016272266
3864,0.009747046,0.009742785,0.013334435,0.013848225,0.011583151,0.012151266,0.007827559,0.008253904,0.020079664,0.020486068,0.020280187,0.020565434,0.016497088,0.016268086
3862,0.009844361,0.009830739,0.013372836,0.01396895,0.011636834,0.012266272,0.007878174,0.008345264,0.020153394,0.020609124,0.020360093,0.020676573,0.016556466,0.016349672
3860,0.00993172,0.009899924,0.013407305,0.014062775,0.011689829,0.012330076,0.0079144,0.00842217,0.020215558,0.020700282,0.020425865,0.020772906,0.016593745,0.016412305
3858,0.009865288,0.009812834,0.013330543,0.013947413,0.011628791,0.012196637,0.007852579,0.008326974,0.020132812,0.02056578,0.02031659,0.020666508,0.016509756,0.016323385
3856,0.009681157,0.009641527,0.013179997,0.013700041,0.011482496,0.011978865,0.007738097,0.008129579,0.019954435,0.020302662,0.02009899,0.0204233,0.016372563,0.016153406
3854,0.009635619,0.009640988,0.013153119,0.013662627,0.01145092,0.01197812,0.0077422,0.008112439,0.019912408,0.020269301,0.020051622,0.020359088,0.016362646,0.016154242
3852,0.009683918,0.009740129,0.013154871,0.013809712,0.011462913,0.012059562,0.007752463,0.008129068,0.019907522,0.020367826,0.020094572,0.020381658,0.016365747,0.016235761
3850,0.009717295,0.009804482,0.013165839,0.013925123,0.011488323,0.0121019,0.007764222,0.008112799,0.019904491,0.020424952,0.020138306,0.020393991,0.016366634,0.016272896
3848,0.009676674,0.009768084,0.013165577,0.01388378,0.011481785,0.012055741,0.00775329,0.008063853,0.019863379,0.02035075,0.020104414,0.020332271,0.016347932,0.01621883
3846,0.00958889,0.009679545,0.013124101,0.013763096,0.011424664,0.011941827,0.007697916,0.007982058,0.019770365,0.020200637,0.020013372,0.020212606,0.016284233,0.016111477
3844,0.009522749,0.009626201,0.013068004,0.013685778,0.011355961,0.011852174,0.007644788,0.007916164,0.01968412,0.020104266,0.019954417,0.020124188,0.016218694,0.016028537
3842,0.009550064,0.009672274,0.013087913,0.013719501,0.011363453,0.011892182,0.007692637,0.00795966,0.019710755,0.020163343,0.020012561,0.020169812,0.016242536,0.016041404
3840,0.009608352,0.009737944,0.013148421,0.013763946,0.011408211,0.011982962,0.007782663,0.008051739,0.01979055,0.020256363,0.020089033,0.020262391,0.016313387,0.016084012
3838,0.009610155,0.009735587,0.013143353,0.013734485,0.011402962,0.011988833,0.007791302,0.008072345,0.019798809,0.020230226,0.020072445,0.020273917,0.016322597,0.016065101
3836,0.00954411,0.009660962,0.013053943,0.013631835,0.01133201,0.011889045,0.007710786,0.008001295,0.019720019,0.020083006,0.019967392,0.020186842,0.016250093,0.015971277
3834,0.009487398,0.009594317,0.012981226,0.013534994,0.011270641,0.011797658,0.007649616,0.007939476,0.019661534,0.019953099,0.019874728,0.020104967,0.016189047,0.015884736
3832,0.009513484,0.009614074,0.013007182,0.013527181,0.011288057,0.011818265,0.007685086,0.007975067,0.019707337,0.019956127,0.019878411,0.020125644,0.016217116,0.015888595
3830,0.009597864,0.009698316,0.013085464,0.01359117,0.011352942,0.011922211,0.007768558,0.008077391,0.01980812,0.020053146,0.019942797,0.020219078,0.016297246,0.01596548
3828,0.009647525,0.009747662,0.013107741,0.013621554,0.011375623,0.011989527,0.007795797,0.00813892,0.019845707,0.020098571,0.019952871,0.02026291,0.01633038,0.016020043
3826,0.00960987,0.009703037,0.013032993,0.013554694,0.011312916,0.011945911,0.007723782,0.008091608,0.019767811,0.020010043,0.01985286,0.020185242,0.016272581,0.015991126
3824,0.009571049,0.009650684,0.012975945,0.013491043,0.011256254,0.011886334,0.007656181,0.008027245,0.019691899,0.019911136,0.019766756,0.020100183,0.016219557,0.015953228
3822,0.009646585,0.009705764,0.013077158,0.013552191,0.011324291,0.011951028,0.007729874,0.008094266,0.019769835,0.019968533,0.019843988,0.020161398,0.016290228,0.01601026
3820,0.009764219,0.009801367,0.013231031,0.013661653,0.011428425,0.012063611,0.007849304,0.008218931,0.019898506,0.020098481,0.019979814,0.020272758,0.016394205,0.016099806
3818,0.009774417,0.009806964,0.013245189,0.013677698,0.011420076,0.01206226,0.007842681,0.008223471,0.01988724,0.020127229,0.019996413,0.020249938,0.016381316,0.016103273
3816,0.009713586,0.009766514,0.013177624,0.013646537,0.011364993,0.01200278,0.007777421,0.008161515,0.019805072,0.020108441,0.019967086,0.020162072,0.016318409,0.016065346
3814,0.009669522,0.009748943,0.013146631,0.013640844,0.011349882,0.011978,0.007760349,0.008142174,0.019768856,0.020117112,0.0199844,0.020118137,0.016301894,0.016046556
3812,0.009648059,0.009739508,0.01315095,0.01363792,0.011358048,0.011967515,0.007786114,0.008150275,0.019770817,0.020115789,0.020010866,0.020099279,0.016313651,0.016023723
3810,0.009627881,0.00971595,0.01313735,0.013611767,0.011352002,0.011930539,0.007806964,0.008126803,0.019761683,0.020070451,0.019996576,0.020064612,0.016303765,0.015975132
3808,0.009623732,0.009706018,0.013108162,0.013596965,0.011350235,0.01189508,0.007822179,0.008084299,0.019750804,0.02003075,0.019973648,0.020045445,0.016281199,0.015939093
3806,0.009644387,0.009729194,0.013099595,0.013616341,0.011377447,0.011900982,0.007849422,0.008074693,0.01976653,0.020045661,0.019985693,0.02007499,0.016276793,0.015946116
3804,0.009629966,0.009724695,0.0130801,0.013601837,0.011375315,0.011901631,0.00783971,0.008073713,0.019754674,0.020044917,0.019973303,0.020079053,0.016255205,0.015938554
3802,0.009513094,0.009614046,0.012978817,0.013463347,0.011265365,0.011814287,0.007728028,0.007998911,0.019628429,0.019911861,0.019835493,0.01994789,0.016159034,0.015840956
3800,0.009365255,0.009457567,0.012852065,0.013269392,0.011122311,0.011692285,0.007592909,0.007889895,0.019456397,0.0197149,0.019642233,0.019755393,0.016051103,0.015720529
3798,0.009314419,0.009382848,0.012817957,0.013175983,0.011081187,0.011650322,0.007561617,0.007860522,0.019382283,0.019630814,0.019553951,0.019672086,0.016033589,0.015698011
3796,0.009340917,0.009380367,0.012862503,0.013169897,0.011126553,0.011654733,0.007616538,0.00789369,0.019401867,0.019657811,0.019558909,0.019687105,0.016079829,0.015737112
3794,0.009349722,0.009371415,0.012885823,0.013152431,0.011158762,0.01161053,0.00765608,0.007900518,0.01941937,0.019683148,0.019551898,0.019689782,0.016100199,0.015735591
3792,0.009305676,0.00933283,0.012841001,0.013099587,0.011135548,0.01150336,0.00763573,0.007853177,0.019390009,0.01965768,0.019499882,0.01964294,0.016066265,0.015671623
3790,0.00922742,0.009279453,0.012754639,0.013036457,0.011076083,0.011379805,0.007582459,0.007778787,0.019328674,0.019598399,0.019429497,0.019574807,0.016007787,0.015584746
3788,0.009141245,0.009220389,0.012660997,0.012986219,0.010998766,0.011279262,0.007521661,0.007696459,0.019249703,0.01952757,0.019357375,0.019511623,0.015944889,0.015510167
3786,0.009038667,0.009129454,0.012555971,0.012909647,0.010888094,0.011183384,0.007438947,0.007580398,0.01913335,0.019411488,0.019242831,0.019417404,0.015857861,0.015428867
3784,0.008934417,0.009020019,0.01245025,0.012794605,0.010761669,0.011094181,0.007342367,0.007446622,0.018998571,0.019255258,0.019088844,0.019288791,0.015752943,0.015343117
3782,0.00888131,0.008958423,0.012397914,0.012699784,0.010689892,0.011063027,0.00729228,0.00738017,0.018922317,0.019143813,0.018979144,0.019195927,0.015685688,0.015304833
3780,0.008895418,0.008972763,0.012412612,0.012677829,0.01069771,0.011103729,0.0073058,0.007417554,0.018931899,0.019135028,0.018965186,0.01918239,0.015676041,0.01533405
3778,0.00894994,0.009034895,0.0124533,0.012735059,0.0107466,0.011179878,0.007336437,0.00750987,0.0189861,0.019208107,0.01902485,0.019230783,0.015695175,0.015397971
3776,0.009006967,0.009096842,0.012491657,0.01281497,0.010798584,0.011246839,0.007350011,0.007588006,0.019043082,0.019284269,0.019096855,0.019286213,0.015720901,0.015445057
3774,0.009052476,0.009145711,0.012536976,0.012876201,0.010850454,0.011296556,0.007352812,0.007627067,0.01909576,0.019318559,0.019147947,0.019320981,0.015756114,0.015460424
3772,0.009096688,0.009203922,0.012614922,0.012927131,0.010919062,0.011357562,0.007376345,0.007656367,0.019159771,0.019342359,0.019189924,0.019359211,0.015813457,0.015469048
3770,0.009144345,0.009277133,0.012707309,0.012983384,0.010990737,0.011438068,0.007423401,0.007704905,0.019223455,0.019397144,0.019231321,0.019423461,0.015871575,0.015488571
3768,0.009185007,0.009337367,0.012749043,0.013038494,0.011026476,0.011498118,0.007460914,0.007752616,0.019249839,0.019468153,0.01926287,0.019489845,0.015886125,0.01550646
3766,0.009212043,0.009360525,0.012720299,0.013072493,0.011027964,0.011511448,0.007483313,0.007773731,0.019241419,0.019517655,0.019289614,0.0195275,0.015862765,0.015510181
3764,0.009212615,0.009332935,0.012647315,0.013062506,0.011011486,0.011482712,0.007490075,0.007756966,0.019209214,0.019519753,0.019303072,0.019517038,0.015828891,0.015492083
3762,0.009217732,0.009298315,0.012583107,0.013064107,0.011002078,0.011475257,0.007481962,0.007742617,0.019174846,0.019535409,0.019328463,0.019514848,0.01581319,0.015492043
3760,0.009304478,0.00934185,0.012613026,0.013163032,0.011053548,0.011575109,0.007511182,0.007817694,0.019203525,0.019668552,0.019433858,0.019626984,0.015862615,0.015576029
3758,0.009545332,0.009538618,0.012818519,0.013407962,0.011237631,0.011831003,0.007677893,0.008054864,0.019388238,0.019974721,0.019696945,0.019932142,0.016029428,0.015787388
3756,0.009965048,0.009924496,0.013229379,0.013819539,0.011608481,0.012256627,0.008063012,0.00847823,0.019797092,0.020449462,0.020176695,0.020455931,0.016345118,0.016133983
3754,0.010514424,0.010465371,0.013791787,0.014381525,0.012148567,0.012840798,0.008641847,0.009059585,0.02040826,0.021048945,0.02085868,0.021157118,0.016788323,0.016581222
3752,0.011025322,0.010986756,0.014322994,0.014943067,0.012688017,0.013452383,0.009202418,0.009654939,0.021022859,0.021618295,0.021532411,0.021829191,0.017219588,0.016997808
3750,0.011234349,0.011200676,0.014545369,0.015195323,0.012929557,0.013776725,0.009417108,0.009967808,0.021297998,0.021847657,0.021799831,0.022089593,0.017386917,0.017152406
3748,0.011089472,0.011058435,0.014395914,0.015053113,0.012800179,0.013674863,0.00923607,0.009881058,0.021149095,0.021653714,0.021564884,0.021845262,0.017219624,0.016999141
3746,0.010803577,0.010809546,0.01408699,0.014762873,0.012523974,0.013351191,0.008931928,0.009587728,0.020833672,0.021301668,0.021158663,0.021418505,0.016915319,0.016737228
3744,0.010529558,0.010618599,0.013773985,0.01451582,0.012245334,0.013004988,0.008656,0.009258359,0.020523465,0.020984924,0.020815195,0.02103946,0.016639785,0.016505849
3742,0.010206073,0.010386997,0.013429435,0.014218935,0.011891541,0.012598743,0.008309435,0.008866049,0.020143255,0.020600544,0.020413348,0.020597084,0.016370421,0.016232971
3740,0.009812832,0.010058187,0.013096514,0.013808625,0.011489372,0.012131261,0.007909695,0.008451756,0.019716933,0.020108216,0.019896593,0.020050863,0.016105642,0.015881251
3738,0.009553227,0.009829501,0.013002135,0.013508904,0.011306579,0.011864658,0.007741237,0.008291203,0.019530025,0.019787857,0.019558471,0.019711287,0.016008358,0.015635805
3736,0.009617517,0.009887909,0.013260239,0.013551099,0.011508136,0.012013526,0.007991335,0.008561179,0.019749567,0.019877922,0.019656306,0.019843086,0.016169876,0.015680545
3734,0.009859465,0.010093843,0.013586965,0.013808437,0.011827585,0.012333692,0.008387818,0.008939045,0.020067951,0.020160884,0.01997079,0.020184264,0.016365644,0.015882922
3732,0.010175059,0.010373406,0.0138963,0.01417175,0.012170355,0.012689399,0.008818632,0.00928242,0.020397824,0.020545804,0.020400895,0.020597453,0.01656481,0.01615242
3730,0.010557103,0.010737643,0.014292403,0.014599466,0.012618108,0.013132609,0.009343299,0.009708917,0.02085745,0.021074412,0.020969026,0.021141487,0.016880396,0.016495046
3728,0.010854909,0.011040648,0.014637706,0.014916663,0.013010798,0.013507069,0.009774123,0.010082071,0.021279268,0.021528514,0.02144011,0.021619433,0.017186582,0.016780866
3726,0.010758108,0.010968277,0.014563639,0.01478911,0.012943645,0.013429716,0.009693697,0.009989599,0.021217481,0.021459051,0.021344775,0.021557848,0.017155474,0.016730519
3724,0.01017253,0.01040605,0.013936229,0.014115467,0.012271772,0.012765367,0.008967191,0.009285483,0.020500616,0.020720313,0.020545138,0.020773018,0.016660315,0.016243736
3722,0.009495916,0.009730989,0.013158483,0.013340437,0.011455923,0.0119689,0.008071637,0.008445591,0.019608315,0.019844212,0.019621619,0.019801107,0.01604034,0.015649216
3720,0.009185963,0.009396992,0.012722729,0.012964027,0.011045038,0.011573361,0.007573167,0.008026204,0.019124288,0.019435978,0.019218253,0.019296659,0.015712837,0.015334197
3718,0.009205241,0.009382309,0.012631146,0.012934288,0.011017848,0.011528632,0.007478091,0.007981782,0.019030288,0.019417297,0.019250608,0.019231564,0.015655565,0.015256051
3716,0.009305853,0.009469312,0.012683639,0.012995363,0.011120134,0.011559897,0.007573505,0.008035222,0.019072591,0.019446888,0.019357385,0.019300031,0.015664795,0.015211384
3714,0.009583184,0.009768415,0.013014426,0.013282346,0.011483612,0.011837342,0.008019777,0.00836695,0.019428098,0.019697391,0.01970007,0.0196871,0.015856387,0.015340844
3712,0.010124632,0.010340955,0.013671308,0.013890927,0.012182314,0.012494622,0.008856245,0.009106811,0.020183803,0.020336094,0.020421761,0.020504858,0.01630548,0.015770778
3710,0.0103336,0.010561307,0.013926868,0.014142019,0.012454744,0.012770286,0.009222419,0.009422897,0.020477501,0.020575502,0.020672773,0.020832496,0.016438408,0.015960524
3708,0.009881972,0.010099588,0.013428402,0.013640878,0.011906261,0.012227611,0.008686706,0.008855337,0.019872173,0.019962008,0.019989186,0.020180956,0.015987981,0.015583806
3706,0.009170401,0.009367231,0.012663774,0.0128179,0.011051091,0.011355988,0.007809414,0.007957321,0.018949263,0.019014026,0.018952592,0.019159197,0.015358975,0.014977135
3704,0.008612919,0.008791227,0.012091856,0.012166546,0.010396515,0.010674705,0.007135679,0.007288364,0.018264917,0.018284283,0.018155559,0.018374016,0.014911486,0.014510892
3702,0.008358228,0.008523068,0.01183944,0.011886892,0.010096272,0.010374959,0.006824897,0.007018716,0.017966774,0.01798219,0.017807299,0.018018557,0.014730408,0.014323729
3700,0.008433778,0.008585694,0.011901844,0.012009873,0.010157397,0.010485029,0.006878425,0.007137348,0.018039518,0.018130078,0.017942938,0.018117539,0.014797979,0.014431708
3698,0.00875437,0.008893264,0.012195681,0.0124106,0.010487187,0.010894685,0.007198253,0.007523335,0.018378106,0.018576099,0.018435296,0.018561087,0.015045477,0.014742589
3696,0.009059718,0.009192247,0.012484594,0.012767302,0.010813765,0.011293321,0.007509502,0.007874771,0.018699158,0.018957186,0.018914868,0.018992433,0.015287366,0.015014652
3694,0.00907188,0.009217921,0.012495968,0.012769238,0.010824127,0.011353456,0.0075027,0.007863089,0.018683253,0.018940202,0.018986013,0.019018333,0.015316826,0.015009507
3692,0.008740992,0.008915874,0.01216805,0.012370099,0.010435467,0.011004889,0.007117012,0.007440538,0.018266976,0.018507336,0.018546126,0.018560282,0.015097233,0.014700015
3690,0.008371236,0.008563362,0.011778091,0.011929442,0.009975718,0.010568319,0.006696512,0.006980233,0.017811279,0.018055846,0.017996319,0.018040411,0.014838825,0.014361301
3688,0.008339301,0.00853099,0.011683709,0.011906226,0.00989524,0.010484527,0.006668104,0.006923217,0.017780537,0.018062829,0.017925428,0.018007985,0.014817583,0.014334572
3686,0.008667431,0.00884567,0.011942791,0.012301334,0.010244556,0.010831983,0.007058928,0.007314251,0.018214275,0.018545236,0.018412251,0.018507052,0.015086317,0.014647446
