,Whey_a,Whey_b,W10a,W10b,W20a,W20b,W40a,W40b,W60a,W60b,W80a,W80b,Amb,Ama
3728,0.016700068,0.016764232,0.014864459,0.015293733,0.016438847,0.016611103,0.017832932,0.018143272,0.016510021,0.016774573,0.017944922,0.018090018,0.017186582,0.016780866
3726,0.016673016,0.016719375,0.014775114,0.015235463,0.016340448,0.016489649,0.017789088,0.018072315,0.016465185,0.016745999,0.017786843,0.018000867,0.017155474,0.016730519
3724,0.016565798,0.016591601,0.014544135,0.015016381,0.016020244,0.016145023,0.017463783,0.017704691,0.016089903,0.016334591,0.017245737,0.01747678,0.016660315,0.016243736
3722,0.016440807,0.016440774,0.014293201,0.014758754,0.015657064,0.015801067,0.017035721,0.017277885,0.01560003,0.015809261,0.016681466,0.01686005,0.01604034,0.015649216
3720,0.016382739,0.016351084,0.014158804,0.014619893,0.015461609,0.015667028,0.016742908,0.01706716,0.015284858,0.015508891,0.016457968,0.016540923,0.015712837,0.015334197
3718,0.016382227,0.016325608,0.014117481,0.014585821,0.015420001,0.01567715,0.016587298,0.017039321,0.01516363,0.015438996,0.016468054,0.016479605,0.015655565,0.015256051
3716,0.016391493,0.016324608,0.014094637,0.014580336,0.015427396,0.015684287,0.016490563,0.017044554,0.015154102,0.015459247,0.016455263,0.01648552,0.015664795,0.015211384
3714,0.016438302,0.016366993,0.014146345,0.014670432,0.015537388,0.015749522,0.016594085,0.017169588,0.015372712,0.015648805,0.016561422,0.016693428,0.015856387,0.015340844
3712,0.016532372,0.016468697,0.014316384,0.01489477,0.015789294,0.015949805,0.01697577,0.017474696,0.015823179,0.016041986,0.016963693,0.017186045,0.01630548,0.015770778
3710,0.016560595,0.01652076,0.014408789,0.014994596,0.015904511,0.016039912,0.017211871,0.017585846,0.015990092,0.016184927,0.017181354,0.017401135,0.016438408,0.015960524
3708,0.016476561,0.016468283,0.014300686,0.014822514,0.015721361,0.015856197,0.017040714,0.017307992,0.015656189,0.015873817,0.016839562,0.017020622,0.015987981,0.015583806
3706,0.016339554,0.016369896,0.014093732,0.014525209,0.015403771,0.015534592,0.016674922,0.016876144,0.015163835,0.015422279,0.016185744,0.016384433,0.015358975,0.014977135
3704,0.016209262,0.01628375,0.013916761,0.014274732,0.015146081,0.015260695,0.01636065,0.01653982,0.014810324,0.015102003,0.015602703,0.015874353,0.014911486,0.014510892
3702,0.016124733,0.016235791,0.013827134,0.014150304,0.015032945,0.015136372,0.016200447,0.016396455,0.014653461,0.014966029,0.015317613,0.015652681,0.014730408,0.014323729
3700,0.016112267,0.016237325,0.013838939,0.014169584,0.015082466,0.0152028,0.016220414,0.016453499,0.014668107,0.015000516,0.015414262,0.015753656,0.014797979,0.014431708
3698,0.016164033,0.016276592,0.013926918,0.014291321,0.015245703,0.015411048,0.016372825,0.016635128,0.014809832,0.015167759,0.015780122,0.016077204,0.015045477,0.014742589
3696,0.016226195,0.016309429,0.014011146,0.014408452,0.015388212,0.015606007,0.016503913,0.016766967,0.014954652,0.01533487,0.016103538,0.016358982,0.015287366,0.015014652
3694,0.016267633,0.016307423,0.014025588,0.014434086,0.015391282,0.015653216,0.016473453,0.016716424,0.014962527,0.015339211,0.016130084,0.016355026,0.015316826,0.015009507
3692,0.01630315,0.016298054,0.01397375,0.014376953,0.015255651,0.015533669,0.01630004,0.016512644,0.014824626,0.015150574,0.01586198,0.016043132,0.015097233,0.014700015
3690,0.016344461,0.016326049,0.013930983,0.014330899,0.015126977,0.015386977,0.016147871,0.016341613,0.01469098,0.014938911,0.015593833,0.015701082,0.014838825,0.014361301
3688,0.016399759,0.016390403,0.013982015,0.014378801,0.01515823,0.015419834,0.016155349,0.016394865,0.014716482,0.01490918,0.015663235,0.01567872,0.014817583,0.014334572
3686,0.0164763,0.016466192,0.014116203,0.014509378,0.015328988,0.015636779,0.016318112,0.016653783,0.014923076,0.015095318,0.016037299,0.015991208,0.015086317,0.014647446
